BodySerialNumber,1,Serial Number,,,
GPSVersionID,1,GPS Version ID,,,
ImageWidth,4,Image Width,Original Image Width,Cropped Image Width,Exif Image Width
ImageLength,2,Image Height,Original Image Height,,
BitsPerSample,1,Bits Per Sample,,,
Compression,2,Compression,NEF Compression,,
PhotometricInterpretation,1,Photometric Interpretation,,,
ImageDescription,1,Image Description,,,
Make,1,Make,,,
Model,2,Camera Model,Camera Model Name,,
StripOffsets,1,Strip Offsets,,,
Orientation,2,Orientation,Camera Orientation,,
SamplesPerPixel,1,Samples Per Pixel,,,
RowsPerStrip,1,Rows Per Strip,,,
StripByteCounts,1,Strip Byte Counts,,,
XResolution,1,X Resolution,,,
YResolution,1,Y Resolution,,,
PlanarConfiguration,1,Planar Configuration,,,
ResolutionUnit,1,Resolution Unit,,,
Software,1,Software,,,
Artist,1,Artist,,,
WhitePoint,1,White Point,,,
PrimaryChromaticities,1,Primary Chromaticities,,,
YCbCrCoefficients,1,Y Cb Cr Coefficients,,,
YCbCrSubSampling,1,Y Cb Cr Sub Sampling,,,
YCbCrPositioning,1,Y Cb Cr Positioning,,,
ReferenceBlackWhite,1,Reference Black White,,,
Copyright,2,Copyright,Profile Copyright,,
ExposureTime,2,Exposure Time,Target Exposure Time,,
FNumber,1,F Number,Aperture,Target Aperture,
ExposureProgram,1,Exposure Program,,,
SensitivityType,1,Sensitivity Type,,,
ISOSpeed,2,ISO,Base ISO,,
ExifVersion,1,Exif Version,,,
DateTimeOriginal,2,Create Date,Date/Time Original,,
ComponentsConfiguration,1,Components Configuration,,,
CompressedBitsPerPixel,1,Compressed Bits Per Pixel,,,
ShutterSpeedValue,2,Shutter Speed,Shutter Speed Value,,
ApertureValue,1,Aperture,,,
BrightnessValue,1,Brightness Value,,,
ExposureBiasValue,1,Exposure Compensation,,,
MaxApertureValue,2,Max Aperture Value,Max Aperture,Max Aperture At Max Focal,
MeteringMode,1,Metering Mode,,,
LightSource,1,Light Source,,,
Flash,2,Flash,Flash Action,,
FocalLength,1,Focal Length,,,
UserComment,1,User Comment,,,
SubSecTime,1,Sub Sec Time,,,
SubSecTimeOriginal,1,Sub Sec Time Original,,,
SubSecTimeDigitized,1,Sub Sec Time Digitized,,,
FlashpixVersion,1,Flashpix Version,,,
ColorSpace,2,Color Space,Color Space Data,Color Type,
FocalPlaneXResolution,1,Focal Plane X Resolution,,,
FocalPlaneYResolution,1,Focal Plane Y Resolution,,,
FocalPlaneResolutionUnit,1,Focal Plane Resolution Unit,,,
SensingMethod,1,Sensing Method,,,
FileSource,1,File Source,,,
SceneType,1,Scene Type,,,
CFAPattern,2,CFA Pattern,CR2 CFA Pattern,,
CustomRendered,1,Custom Rendered,,,
ExposureMode,1,Exposure Mode,Canon Exposure Mode,,
WhiteBalance,1,White Balance,,,
DigitalZoomRatio,1,Digital Zoom Ratio,,,
FocalLengthIn35mmFilm,1,Focal Length In 35mm Format,,,
SceneCaptureType,1,Scene Capture Type,,,
GainControl,1,Gain Control,,,
Contrast,1,Contrast,,,
Saturation,1,Saturation,,,
Sharpness,1,Sharpness,,,
SubjectDistanceRange,1,Subject Distance Range,,,
LensModel,2,Lens Model,Lens ID,Lens,
LensSerialNumber,1,Lens Serial Number,,,
ShutterSpeed,3,Shutter Speed,Shutter Speed Setting,Shutter Speed Value,
